canalx,canal,date,,hora_ini,hora_fin,fecha_init,fecha_fin
05:00:00 a 09:30:00,M DEPORTES HD,2023-05-15, ,00:00:00,23:59:59,2023-05-15 00:00:00,2023-05-15 23:59:59
,M DEPORTES HD,2023-05-16, ,00:00:00,23:59:59,2023-05-16 00:00:00,2023-05-16 23:59:59
,M DEPORTES HD,2023-05-17, ,00:00:00,23:59:59,2023-05-17 00:00:00,2023-05-17 23:59:59
,M DEPORTES HD,2023-05-18, ,00:00:00,23:59:59,2023-05-18 00:00:00,2023-05-18 23:59:59
,M DEPORTES HD,2023-05-19, ,00:00:00,23:59:59,2023-05-19 00:00:00,2023-05-19 23:59:59
,M DEPORTES HD,2023-05-20, ,00:00:00,23:59:59,2023-05-20 00:00:00,2023-05-20 23:59:59
,M DEPORTES HD,2023-05-21, ,00:00:00,23:59:59,2023-05-21 00:00:00,2023-05-21 23:59:59
,GOLPERU HD,2023-05-15, ,00:00:00,23:59:59,2023-05-15 00:00:00,2023-05-15 23:59:59
,GOLPERU HD,2023-05-16, ,00:00:00,23:59:59,2023-05-16 00:00:00,2023-05-16 23:59:59
,GOLPERU HD,2023-05-17, ,00:00:00,23:59:59,2023-05-17 00:00:00,2023-05-17 23:59:59
,GOLPERU HD,2023-05-18, ,00:00:00,23:59:59,2023-05-18 00:00:00,2023-05-18 23:59:59
,GOLPERU HD,2023-05-19, ,00:00:00,23:59:59,2023-05-19 00:00:00,2023-05-19 23:59:59
,GOLPERU HD,2023-05-20, ,00:00:00,23:59:59,2023-05-20 00:00:00,2023-05-20 23:59:59
,GOLPERU HD,2023-05-21, ,00:00:00,23:59:59,2023-05-21 00:00:00,2023-05-21 23:59:59
,ESPN HD,2023-05-15, ,00:00:00,23:59:59,2023-05-15 00:00:00,2023-05-15 23:59:59
,ESPN HD,2023-05-16, ,00:00:00,23:59:59,2023-05-16 00:00:00,2023-05-16 23:59:59
,ESPN HD,2023-05-17, ,00:00:00,23:59:59,2023-05-17 00:00:00,2023-05-17 23:59:59
,ESPN HD,2023-05-18, ,00:00:00,23:59:59,2023-05-18 00:00:00,2023-05-18 23:59:59
,ESPN HD,2023-05-19, ,00:00:00,23:59:59,2023-05-19 00:00:00,2023-05-19 23:59:59
,ESPN HD,2023-05-20, ,00:00:00,23:59:59,2023-05-20 00:00:00,2023-05-20 23:59:59
,ESPN HD,2023-05-21, ,00:00:00,23:59:59,2023-05-21 00:00:00,2023-05-21 23:59:59
,ESPN 2,2023-05-15, ,00:00:00,23:59:59,2023-05-15 00:00:00,2023-05-15 23:59:59
,ESPN 2,2023-05-16, ,00:00:00,23:59:59,2023-05-16 00:00:00,2023-05-16 23:59:59
,ESPN 2,2023-05-17, ,00:00:00,23:59:59,2023-05-17 00:00:00,2023-05-17 23:59:59
,ESPN 2,2023-05-18, ,00:00:00,23:59:59,2023-05-18 00:00:00,2023-05-18 23:59:59
,ESPN 2,2023-05-19, ,00:00:00,23:59:59,2023-05-19 00:00:00,2023-05-19 23:59:59
