TIPO|PERIODO|TIPO_USUARIO|TIPO_CONTENIDO|CHANNEL_NAME|USUARIOS|HORAS|GRUPO|PROCESSDATE,,,,,,,,,gsgsfsafasf
T1|202210|LITE|LIVE|STAR CHANNEL|2365|3991,716666|[>5]|,,,,,,,,
T1|202210|LITE|LIVE|MAS CHIC HD|201|225,783333|[>5]|,,,,,,,,
T1|202210|FULL|LIVE|MOVISTAR EVENTOS|6941|6409,400000|[>5]|,,,,,,,,
T1|202210|FULL|LIVE|MAS CHIC HD|3349|3623,483333|[>5]|,,,,,,,,
T1|202210|LITE|LIVE|USMP TV|11013|6720,816666|[>5]|,,,,,,,,
T1|202210|LITE|LIVE|CANAL N HD|27422|96415,616666|[>5]|,,,,,,,,
T1|202210|LITE|LIVE|NAT GEO HD|799|944,966666|[>5]|,,,,,,,,
T1|202210|FULL|LIVE|PARAMOUNT HD|34540|56841,516666|[>5]|,,,,,,,,
T1|202210|LITE|LIVE|MOVISTAR EVENTOS|326|299,316666|[>5]|,,,,,,,,
T1|202210|FULL|LIVE|INVEST.DISCOVERYHD|15147|50079,650000|[>5]|,,,,,,,,
T1|202210|LITE|LIVE|CINEMAX HD|2107|3556,616666|[>5]|,,,,,,,,
T1|202210|FULL|LIVE|USMP TV|2386|1068,883333|[>5]|,,,,,,,,
T1|202210|FULL|LIVE|LOVE NATURE HD|13136|19544,366666|[>5]|,,,,,,,,
T1|202210|LITE|LIVE|GOLPERU HD|22121|102714,883333|[>5]|,,,,,,,,
T1|202210|LITE|LIVE|ESPN EXTRA HD|989|888,016666|[>5]|,,,,,,,,
T1|202210|FULL|LIVE|ESPN EXTRA HD|66251|26633,800000|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|HOME & HEALTH HD|53946|43588,833333|[>0]|,,,,,,,,
T1|202210|FULL|LIVE|ESPN HD|220527|891579,366666|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|DISNEY CHANNEL HD|2710|1068,133333|[>0]|,,,,,,,,
T1|202210|LITE|LIVE|CARTOONITO|2757|1972,666666|[>0]|,,,,,,,,
